AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2016,4,COMUNICACION CELULAR S A COMCEL S A,8,ATLÁNTICO,8558.0,POLONUEVO,S,8558001.0,POLONUEVO,S,S,S,N,N,N
2022,1,PARTNERS TELECOM COLOMBIA SAS,41,HUILA,41026.0,ALTAMIRA,S,41026000.0,ALTAMIRA,N,S,S,N,N,N
2016,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52051.0,ARBOLEDA,N,0.0,CÁRDENAS ROSAFLORIDA,N,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54810.0,TIBÚ,N,54810006.0,TRES BOCAS,S,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66682.0,SANTA ROSA DE CABAL,N,0.0,EL GUAMAL,N,N,N,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66001.0,PEREIRA,N,66001044.0,ALEGRÍAS LA GRAMÍNEA (BRISAS DEL CONDINA),S,S,S,S,N,N
2016,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20228.0,CURUMANÍ,N,20228002.0,SAN ROQUE,S,N,N,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23417.0,LORICA,N,23417003.0,LA DOCTRINA,S,S,S,N,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5360.0,ITAGUI,N,5360003.0,EL AJIZAL,N,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19318.0,GUAPI,N,0.0,CONCEPCIÓN DE GUAJUÍ,N,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001.0,MONTERÍA,N,23001045.0,MAQUENCAL,N,N,N,N,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5390.0,LA PINTADA,N,5390001.0,LA BOCANA,S,S,S,S,N,N
2017,1,COMUNICACION CELULAR S A COMCEL S A,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564.0,PROVIDENCIA,N,88564005.0,ROCKY POINT,N,N,N,N,N,N
2017,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,54,NORTE DE SANTANDER,54720.0,SARDINATA,S,54720001.0,SARDINATA,S,S,S,N,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70221.0,COVEÑAS,N,70221002.0,EL REPARO,S,N,N,N,N,N
2019,3,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5847.0,URRAO,S,5847001.0,URRAO,S,S,S,N,N,N
2017,3,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41551.0,PITALITO,N,41551001.0,BRUSELAS,S,S,S,N,S,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76036.0,ANDALUCÍA,N,0.0,ALTAFLOR,N,N,N,N,N,N
2016,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13810.0,TIQUISIO,N,13810011.0,TIQUISIO NUEVO,S,N,N,N,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25769.0,SUBACHOQUE,S,25769000.0,SUBACHOQUE,N,S,S,S,N,N
2019,2,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47189.0,CIÉNAGA,N,47189004.0,SAN PEDRO DE LA SIERRA,S,S,S,N,S,N
